speed;rate;vol;wear;rough;cost;victories;defeats;draws
51.7;52.13;5000;32.99;0.54;8.4;452;547;0
53.76;59.77;5000;32.64;0.57;7.65;578;421;0
66.3;150;5000;33.76;0.67;4.33;299;700;0
78.15;50;5000;35.82;0.49;10.11;27;972;0
59.95;89.18;5000;31.6;0.63;5.75;926;73;0
68.84;50;5000;34.73;0.51;9.52;175;824;0
50.28;58.14;5000;32.65;0.57;7.71;574;425;0
74.49;50;5000;35.41;0.5;9.87;87;912;0
52.26;62.57;5000.01;32.46;0.58;7.34;630;369;0
51.46;52.88;5000;32.94;0.54;8.3;472;527;0
63.9;109.79;5000.01;31.6;0.65;5.05;925;74;0
75.3;149.05;5000;33.46;0.66;4.49;350;649;0
71.44;50;5000;35.05;0.5;9.68;133;866;0
52.95;50;5000;33.16;0.53;8.7;403;596;0
75.34;50;5000;35.51;0.5;9.93;72;927;0
66.43;50;5000;34.44;0.51;9.37;210;789;0
77.26;50;5000;35.72;0.49;10.05;40;959;0
66.52;105.84;5000;31.65;0.65;5.25;897;102;0
57.09;83.45;5000.01;31.69;0.62;5.97;880;119;0
56.23;50;5000;33.38;0.53;8.83;365;634;0
63.15;137.75;5000;32.96;0.67;4.45;449;550;0
52.35;61.26;5000;32.52;0.57;7.47;611;388;0
50.63;51.74;5000;32.97;0.54;8.41;460;539;0
49.21;57.55;5000;32.67;0.56;7.74;566;433;0
69.69;50;5000;34.84;0.51;9.57;161;838;0
75.71;50;5000;35.55;0.5;9.95;66;933;0
59.95;103.03;5000;31.52;0.65;5.18;973;26;0
57.3;79.94;5000;31.8;0.62;6.18;837;162;0
77.66;50;5000;35.77;0.49;10.07;34;965;0
51.84;60.51;5000.01;32.55;0.57;7.52;603;396;0
79.46;50;5000;35.96;0.49;10.19;9;990;0
51.5;60.26;5000;32.56;0.57;7.53;601;398;0
70.9;50;5000;34.98;0.51;9.65;141;858;0
65.56;150;5000;33.83;0.67;4.33;290;709;0
55.71;74.66;5000;31.96;0.61;6.48;766;233;0
75.66;50;5000;35.55;0.5;9.95;67;932;0
