speed;rate;vol;wear;rough;cost;victories;defeats;draws
79.98;149.97;7864.52;7.04;0.39;6.52;312;687;0
80;50;11443.9;4.62;0.26;21.01;832;167;0
79.98;50;8875.55;4.66;0.3;14.5;722;277;0
80;149.99;7307.1;6.77;0.4;5.96;375;624;0
80;147.08;11655.1;8.89;0.32;10.82;100;899;0
80;134.47;11821.25;8.5;0.32;11.46;43;956;0
80;50;9858.19;4.62;0.29;16.82;864;135;0
79.97;150;7978.21;7.1;0.39;6.64;301;698;0
80;50;9269.79;4.64;0.3;15.4;773;226;0
80;53.26;6389.06;5.04;0.35;9.66;524;475;0
80;50;11689.45;4.64;0.26;21.68;779;220;0
80;145.3;7325.15;6.64;0.4;6.02;382;617;0
80;149.97;7678.26;6.95;0.39;6.33;334;665;0
80;148.95;8508.75;7.34;0.38;7.22;269;730;0
79.91;150;8228.11;7.23;0.38;6.91;284;715;0
80;149.5;7573.06;6.88;0.4;6.23;346;653;0
80;50;7110.24;4.86;0.33;11.14;545;454;0
79.92;150;9924.83;8.1;0.35;8.81;207;792;0
80;50;9400.17;4.63;0.29;15.71;794;205;0
80;50;11573.35;4.63;0.26;21.36;804;195;0
80;149.56;8831.32;7.52;0.37;7.57;249;750;0
80;149.49;11408.52;8.84;0.32;10.48;115;884;0
80;149.69;10070.98;8.16;0.34;8.98;197;802;0
79.97;150;9145.26;7.7;0.36;7.92;228;771;0
79.81;148.96;7250.25;6.72;0.4;5.92;384;615;0
80;50;11945.62;4.66;0.26;22.39;733;266;0
79.97;143.8;11238.82;8.55;0.33;10.46;98;901;0
80;50;10377.76;4.61;0.28;18.15;961;38;0
80;50;6336.76;5;0.34;10.03;562;437;0
79.97;50.33;6471.68;4.98;0.34;10.16;561;438;0
79.98;50;10016.66;4.61;0.28;17.22;886;112;1
80;50;9710.59;4.62;0.29;16.46;841;158;0
80;50;9923.63;4.61;0.29;16.99;871;128;0
80;50;10230.79;4.61;0.28;17.77;930;68;1
80;147.13;10831.23;8.46;0.33;9.9;124;875;0
80;50;11539.81;4.63;0.26;21.27;809;190;0
80;144.25;10696.44;8.29;0.33;9.82;145;854;0
80;50;9839.12;4.62;0.29;16.78;861;138;0
80;50;10685.53;4.6;0.27;18.96;988;10;1
79.95;50;9532.02;4.63;0.29;16.02;803;196;0
80;51.87;5139.36;5.32;0.35;8.47;536;463;0
79.94;50;8371.79;4.7;0.31;13.43;684;315;0
79.99;149.95;10333.92;8.3;0.34;9.28;179;820;0
79.98;50.83;5140.59;5.31;0.35;8.59;541;458;0
80;50;9854.17;4.62;0.29;16.81;863;136;0
80;50;9147.97;4.64;0.3;15.12;755;244;0
80;146.36;10599.19;8.31;0.33;9.66;151;848;0
80;150;11285.48;8.8;0.32;10.33;119;880;0
79.99;149.94;9869.59;8.07;0.35;8.75;211;788;0
80;149.72;8649.12;7.43;0.37;7.37;260;739;0
80;149.98;11987.72;9.18;0.31;11.08;97;902;0
80;51;6389.06;5.01;0.34;9.96;549;450;0
79.98;149.43;7945.83;7.07;0.39;6.61;307;692;0
