speed;rate;vol;wear;rough;cost;victories;defeats;draws
72.53;50;6464.57;1.64;0.28;25.92;691;308;0
79.37;50;8649.39;1.39;0.27;34.44;924;75;0
77.84;149.83;5000.01;2.89;0.37;14.62;69;930;0
76.63;149.91;5000.01;2.95;0.37;14.71;52;947;0
71.13;85.11;5000.96;2.58;0.34;16.52;188;811;0
79.83;53.62;5070.01;2.09;0.3;19.43;500;499;0
80;50;11069.52;1.63;0.27;44.85;693;306;0
80;50;8242.19;1.39;0.28;32.43;899;100;0
79.91;53.99;5067.88;2.09;0.3;19.37;496;503;0
80;51.52;5471.27;1.9;0.29;21.02;537;462;0
74.3;55.32;5000;2.21;0.3;19.33;448;551;0
68.82;50.06;6363.48;1.71;0.28;25.97;717;282;0
74.44;149.91;5000;3.04;0.37;14.89;23;976;0
80;77.48;5906.79;2.04;0.34;19.13;337;662;0
79.88;59.59;5384.34;2.06;0.31;19.5;423;576;0
71.86;50;8151.19;1.45;0.27;33.74;891;108;0
73.93;50;7298.5;1.49;0.28;29.37;808;191;0
80;50;10921.39;1.6;0.27;44.27;711;288;0
80;54.2;5000;2.12;0.3;19.13;504;495;0
79.75;50.94;5404.08;1.92;0.29;20.93;550;449;0
79.37;50;8404.85;1.39;0.28;33.32;916;83;0
64.57;50;7107.56;1.64;0.27;29.99;776;223;0
73.6;109.31;5000.05;2.64;0.36;15.37;154;845;0
73.78;50;9083.27;1.45;0.27;37.72;886;113;0
79.79;50;8658.29;1.39;0.27;34.39;927;72;0
80;50;10861.46;1.59;0.27;44.03;718;281;0
74.66;50;9851.36;1.5;0.27;40.98;793;206;0
77.73;149.66;5000.02;2.89;0.37;14.63;68;931;0
70.09;50;7889.02;1.48;0.27;32.83;864;135;0
80;148.4;5000;2.78;0.38;14.46;106;893;0
72.47;50.02;6376.71;1.66;0.28;25.56;684;315;0
80;50;8221.37;1.39;0.28;32.34;894;105;0
64.95;50.01;7765.13;1.57;0.27;33.11;800;199;0
73.08;149.71;5000;3.1;0.37;15;5;994;0
73.06;118.97;5000.31;2.73;0.37;15.2;114;885;0
78.95;77.21;5000.08;2.32;0.34;16.58;317;682;0
79.89;80.18;5160.17;2.25;0.35;16.74;343;656;0
79.77;63;5073.38;2.2;0.32;18.14;415;584;0
73.47;104.65;5000.02;2.61;0.36;15.51;166;833;0
76.77;150;5003.06;2.94;0.37;14.71;54;945;0
79.96;54.51;5379.26;1.99;0.3;20.23;479;520;0
79.83;54.03;5195.89;2.05;0.3;19.75;488;511;0
72.68;50;8979.03;1.45;0.27;37.47;879;120;0
79.81;54.75;5462.82;1.96;0.3;20.48;471;528;0
71.48;78.96;5000;2.53;0.34;16.91;209;790;0
78.82;50.16;6687.99;1.56;0.29;25.88;681;318;0
79.96;50;9151.81;1.4;0.27;36.61;902;97;0
74.71;97.71;5000.06;2.53;0.36;15.67;200;799;0
73.35;149.91;5000.01;3.09;0.37;14.97;8;991;0
69.9;50;6403.11;1.68;0.28;26.02;713;286;0
62.14;50;6611.5;1.77;0.27;27.95;745;254;0
77.43;81.86;5001.14;2.38;0.35;16.34;279;720;0
77.05;149.71;5000.05;2.92;0.37;14.68;60;939;0
80;52.96;5218.79;2.02;0.3;19.98;504;495;0
72.22;50;8694.67;1.45;0.27;36.23;893;106;0
73.08;50.21;5000;2.11;0.28;20.23;581;418;0
72.5;50;9426.66;1.49;0.27;39.55;820;179;0
79.54;71.16;5714.08;2.06;0.33;19.17;358;641;0
65.49;50;7834.6;1.56;0.27;33.36;811;188;0
71.74;70.55;5000.21;2.46;0.32;17.61;262;737;0
80;53.13;5205.67;2.03;0.3;19.91;503;496;0
72.71;115.39;5000.01;2.72;0.37;15.29;121;878;0
78.1;149.83;5007.59;2.88;0.37;14.62;70;929;0
76.25;50;9766.41;1.48;0.27;40.26;831;168;0
75.47;50;8541.18;1.41;0.27;34.83;920;79;0
75.93;57.39;5000.21;2.22;0.3;18.92;439;560;0
69.34;50.01;6885.65;1.59;0.27;28.25;768;231;0
79.95;50;10629.01;1.55;0.27;43.1;754;245;0
65.23;50.02;7195.11;1.61;0.27;30.31;782;217;0
79.87;65.03;5852.55;1.97;0.32;20.27;358;641;0
79.99;50;8209.88;1.39;0.28;32.29;891;108;0
71.98;70.79;5000.06;2.45;0.33;17.58;263;736;0
79.65;54.62;5441.3;1.97;0.3;20.44;474;525;0
74.88;50;9745.42;1.49;0.27;40.47;813;186;0
79.99;77.86;6359.63;1.95;0.34;20.57;279;720;0
73.86;50;9260.54;1.46;0.27;38.51;862;137;0
77.15;50;7612.04;1.44;0.28;30.18;844;155;0
69.95;93.98;5000.01;2.67;0.35;16.12;144;855;0
76.21;50.09;5842.95;1.78;0.28;22.96;615;384;0
76.94;81.64;5000.04;2.39;0.35;16.38;272;727;0
80;50;8928.26;1.39;0.27;35.58;914;85;0
80;50;8864.3;1.39;0.27;35.29;921;78;0
72.02;80.61;5000.02;2.52;0.34;16.76;217;782;0
79.99;50;10908.45;1.6;0.27;44.22;713;286;0
78.57;50.01;10430.47;1.54;0.27;42.59;770;229;0
73.41;50;9048.45;1.45;0.27;37.64;883;116;0
76.86;52.98;5000;2.13;0.29;19.52;503;496;0
76.4;50;9966.59;1.5;0.27;41.11;803;196;0
74.58;145.37;5000.04;2.97;0.37;14.88;40;959;0
79.71;56.49;5000.03;2.16;0.31;18.8;473;526;0
71.95;56.2;5000.8;2.26;0.3;19.35;408;590;1
72.35;50;7644.92;1.47;0.27;31.26;857;142;0
77.95;50.28;5904.14;1.75;0.29;22.95;609;390;0
79.93;55.24;5180.27;2.07;0.3;19.51;472;527;0
78.52;145.06;5000.41;2.79;0.37;14.58;91;908;0
72.27;89.99;5000.02;2.57;0.35;16.17;189;810;0
74.44;68.29;5000;2.37;0.32;17.67;308;691;0
78.18;50.07;7250.79;1.47;0.28;28.37;774;225;0
79.73;141.83;5000;2.7;0.38;14.5;114;885;0
72.74;51.17;5000.01;2.14;0.29;20.09;547;452;0
68.17;50.01;7407.31;1.54;0.27;30.87;815;184;0
79.99;50.74;5233.62;1.97;0.29;20.4;545;454;0
68.94;50.01;6980.71;1.58;0.27;28.75;781;218;0
76.7;50;10130.11;1.51;0.27;41.74;785;214;0
73.41;84.97;5000;2.51;0.35;16.38;219;780;0
73.09;114.65;5000.35;2.7;0.37;15.28;128;871;0
79.81;63.58;5491.55;2.06;0.32;19.31;389;610;0
75.31;50;8069.5;1.42;0.27;32.66;910;89;0
78.16;50;7641.05;1.43;0.28;30.11;840;159;0
74.33;50;9797.06;1.5;0.27;40.81;797;202;0
79.63;85.07;5711.69;2.13;0.35;18;353;646;0
75.11;53.87;5000.02;2.17;0.29;19.5;476;523;0
68.13;50;6835.39;1.62;0.27;28.2;768;231;0
79.99;62.68;5160.17;2.16;0.32;18.42;422;577;0
72.94;50;8650.63;1.44;0.27;35.88;905;94;0
75.36;50;9787.79;1.49;0.27;40.55;815;184;0
