speed;rate;vol;wear;rough;cost;victories;defeats;draws
67.67;54.51;5000.01;51.26;0.58;8.52;451;548;0
73.92;63.54;5000;50.95;0.61;7.81;580;419;0
79.99;123.39;5000;50.56;0.76;5.11;703;295;1
76.08;62.09;5000;51.23;0.6;8.04;470;529;0
70.86;54.87;5000;51.42;0.57;8.6;388;611;0
73.32;58.54;5000;51.3;0.59;8.29;442;557;0
75.07;50.12;5000;52.12;0.54;9.36;189;810;0
79.99;118.4;5000;50.16;0.75;5.21;827;172;0
78.79;68.85;5000.06;50.89;0.62;7.53;601;398;0
79.91;137.95;5000;52.44;0.79;4.93;141;858;0
79.98;122.94;5000;50.52;0.76;5.12;715;283;1
79.97;108.41;5000;49.66;0.73;5.45;938;61;0
79.97;137.3;5000;52.32;0.79;4.93;157;842;0
79.99;129.43;5000;51.21;0.77;5.02;475;523;1
70.35;50;5000;51.76;0.54;9.17;260;739;0
79.26;69.84;5000.02;50.85;0.62;7.47;616;383;0
79.83;112.31;5000.01;49.81;0.74;5.34;905;94;0
79.91;74.32;5000.02;50.56;0.64;7.14;707;292;0
71.85;62.76;5000;50.87;0.61;7.81;605;394;0
79.99;111.91;5000;49.79;0.74;5.36;910;89;0
71.84;52.77;5000.08;51.66;0.56;8.89;301;698;0
79.98;136.25;5000;52.15;0.79;4.94;183;816;0
79.98;74.32;5000.02;50.57;0.64;7.14;704;295;0
69.07;60.49;5000;50.89;0.61;7.92;594;405;0
72.26;60.11;5000.12;51.1;0.6;8.09;509;490;0
72;52.4;5000.01;51.7;0.56;8.94;290;709;0
72.06;54.21;5000;51.56;0.57;8.73;332;667;0
80;74.1;5000;50.58;0.64;7.16;702;297;0
76.42;50;5000;52.24;0.53;9.44;168;830;1
72.34;55.42;5000.01;51.48;0.57;8.6;365;634;0
79.93;121.31;5000;50.39;0.76;5.15;760;239;0
79.97;136.06;5000;52.12;0.79;4.94;188;811;0
79.3;78.01;5000;50.27;0.65;6.85;798;201;0
73.83;60.62;5000;51.17;0.59;8.1;489;510;0
79.94;125.09;5000;50.73;0.76;5.08;654;345;0
79.68;119.28;5000;50.25;0.75;5.18;801;198;0
72;54.29;5000.01;51.55;0.57;8.72;336;663;0
78.68;68.53;5000;50.91;0.62;7.55;597;402;0
79.79;120.1;5000.09;50.3;0.75;5.17;784;215;0
79.04;84.93;5000;49.87;0.68;6.41;894;105;0
78.28;68.11;5000;50.91;0.62;7.57;594;405;0
78.82;65.85;5000;51.14;0.61;7.8;503;496;0
79.99;123.39;5000;50.56;0.76;5.11;703;295;1
77.05;65.65;5000.05;51.01;0.61;7.74;548;451;0
63.8;50.03;5000.18;51.43;0.56;8.91;373;626;0
79.28;150;5000;55.11;0.82;4.87;26;973;0
